( 5, 40 )
( 10, 58 )
( 15, 78 )
( 20, 104 )
( 25, 133 )
( 30, 163 )
( 35, 198 )
( 40, 236 )
( 45, 274 )
( 50, 311 )
( 55, 349 )
( 60, 386 )
( 65, 424 )
( 70, 461 )
( 75, 497 )
( 80, 534 )
( 85, 571 )
( 90, 608 )
( 95, 646 )
( 100, 682 )
( 105, 717 )
( 110, 752 )
( 115, 787 )
( 120, 822 )
( 125, 856 )
( 130, 888 )
( 135, 921 )
( 140, 953 )
( 145, 983 )
( 150, 1014 )
( 155, 1044 )
( 160, 1074 )
( 165, 1104 )
( 170, 1134 )
( 175, 1163 )
( 180, 1193 )
( 185, 1221 )
( 190, 1250 )
( 195, 1279 )
( 200, 1308 )
( 205, 1337 )
( 210, 1365 )
( 215, 1393 )
( 220, 1420 )
( 225, 1448 )
( 230, 1476 )
( 235, 1503 )
( 240, 1530 )
( 245, 1557 )
( 250, 1583 )
( 255, 1610 )
( 260, 1636 )
( 265, 1662 )
( 270, 1689 )
( 275, 1715 )
( 280, 1741 )
( 285, 1766 )
( 290, 1791 )
( 295, 1816 )
( 300, 1841 )
( 305, 1866 )
( 310, 1890 )
( 315, 1915 )
( 320, 1940 )
( 325, 1966 )
( 330, 1990 )
( 335, 2016 )
( 340, 2039 )
( 345, 2064 )
( 350, 2090 )
( 355, 2115 )
( 360, 2138 )
( 365, 2163 )
( 370, 2188 )
( 375, 2213 )
( 380, 2238 )
( 385, 2262 )
( 390, 2285 )
( 395, 2309 )
( 400, 2331 )
( 405, 2354 )
( 410, 2377 )
( 415, 2401 )
( 420, 2424 )
( 425, 2447 )
( 430, 2470 )
( 435, 2492 )
( 440, 2514 )
( 445, 2538 )
( 450, 2561 )
( 455, 2584 )
( 460, 2606 )
( 465, 2628 )
( 470, 2651 )
( 475, 2673 )
( 480, 2694 )
( 485, 2716 )
( 490, 2736 )
( 495, 2759 )
( 500, 2780 )
( 505, 2803 )
( 510, 2825 )
( 515, 2848 )
( 520, 2869 )
( 525, 2891 )
( 530, 2912 )
( 535, 2932 )
( 540, 2953 )
( 545, 2975 )
( 550, 2997 )
( 555, 3018 )
( 560, 3039 )
( 565, 3060 )
( 570, 3080 )
( 575, 3101 )
( 580, 3122 )
( 585, 3141 )
( 590, 3160 )
( 595, 3178 )
( 600, 3197 )
( 605, 3215 )
( 610, 3233 )
( 615, 3250 )
( 620, 3267 )
( 625, 3284 )
( 630, 3302 )
( 635, 3319 )
( 640, 3337 )
( 645, 3354 )
( 650, 3370 )
( 655, 3387 )
